Noun1,Noun1Eng,Noun2,Noun2Eng,Verb,VerbEng
私(わたし),I,林檎(りんご),apple,持(も)っています,have does
猫(ねこ),cat,ラーメン,ramen,持(も)っていました,have did
犬(いぬ),dog,チキン,chicken,持(も)っていません,have does not
息子(むすこ),son,寿司(すし),sushi,持(も)っていませんでした,have did not
娘(むすめ),daughter,ハンバーガー,burger,見(み)ます,see does
妻(つま),wife,ピザ,pizza,見(み)ました,see did
友達(ともだち),friend,ケーキ,cake,見(み)ません,see does not
父(ちち),father,パン,bread,見(み)ませんでした,see did not
母(はは),mother,パスタ,pasta,買(か)います,buy does
私達(わたしたち),we,オレンジ,orange,買(か)いました,buy did
彼(かれ),he,バナナ,banana,買(か)いません,buy does not
彼女(かのじょ),she,スープ,soup,買(か)いませんでした,buy did not
近所(きんじょ)の人(ひと),neighbour,ペン,pen,取(と)ります,take does
おじいさん,grandfather,椅子(いす),chair,取(と)りません,take does not
おばあさん,grandmother,本(ほん),book,取(と)りました,take did
店員(てんいん),waiter,箸(はし),chopsticks,取(と)りませんでした,take did not